"scope","record_or_source_id","title_or_source","verifier","human_verification_date","verification_mode","original_labels_visible","fields_checked","human_outcome","fields_revised_if_any","claim_impact_note","main_text_or_supplement_change"
"C1-C6 targeted verification","#107","RAVEN","Sungmoon Park","2026-05-17","label-visible targeted verification","yes","primary_cluster; output_form; temporal_grounding; evidence_grounding; AARS_equivalence; RQ/G links","confirmed","none","Temporal grounding and structured moderation output exist, so the safe claim is not no structured output; it is no full AARS-style creative/claim/action representation.","none"
"C1-C6 targeted verification","#134","AdIntuition","Hyojin Park","2026-05-17","label-visible targeted verification","yes","primary_cluster; output_form; disclosure_detection; defense_tested; AARS_equivalence; RQ/G links","confirmed","none","Disclosure/compliance detection evidence does not provide full AARS representation or general agent-side ad filtering.","none"
"C1-C6 targeted verification","#36","AdQuestA","Sungmoon Park","2026-05-17","label-visible targeted verification","yes","primary_cluster; output_form; evidence_grounding; AARS_equivalence; agent_consumability; RQ/G links","confirmed","none","Advertising VQA/RAG supports QA/semantic understanding, not full AARS-style structured ad record.","none"
"C1-C6 targeted verification","#32","BannerAgency","Hyojin Park","2026-05-17","label-visible targeted verification","yes","primary_cluster; output_form; structured_output; AARS_equivalence; agent_consumability; RQ/G links","confirmed","none","Editable Figma/SVG or design-blueprint output is machine-readable creative output, but not AARS-style ad meaning representation.","none"
"C7/C8 infrastructure crosswalk","C7-S1","OpenRTB","Sungmoon Park","2026-05-17","label-visible targeted verification","yes","primary_role; aars_relevance; boundary_note; CTM-04 impact","confirmed","none","OpenRTB provides transaction/bidding infrastructure but not full AARS creative/claim/action representation.","none"
"C7/C8 infrastructure crosswalk","C7-S2","AdCOM","Sungmoon Park","2026-05-17","label-visible targeted verification","yes","primary_role; aars_relevance; boundary_note; CTM-04 impact","confirmed","none","AdCOM provides object vocabulary but not OCR/image-region evidence or ad-claim grounding.","none"
"C7/C8 infrastructure crosswalk","C7-S3","VAST","Sungmoon Park","2026-05-17","label-visible targeted verification","yes","primary_role; aars_relevance; boundary_note; CTM-04 impact","confirmed","none","VAST is video/audio serving and tracking infrastructure, not a general display-banner AARS schema.","none"
"C7/C8 infrastructure crosswalk","C7-S4","OM SDK / OMID","Sungmoon Park","2026-05-17","label-visible targeted verification","yes","primary_role; aars_relevance; boundary_note; CTM-04 impact","confirmed","none","OMID/OM SDK provides measurement/verification evidence, not semantic ad understanding or offer extraction.","none"
"C7/C8 infrastructure crosswalk","C7-S5","ads.txt / app-ads.txt","Sungmoon Park","2026-05-17","label-visible targeted verification","yes","primary_role; aars_relevance; boundary_note; CTM-04 impact","confirmed","none","ads.txt/app-ads.txt supports authorized seller provenance but not creative/product/claim representation.","none"
"C7/C8 infrastructure crosswalk","C7-S6","sellers.json + SupplyChain","Sungmoon Park","2026-05-17","label-visible targeted verification","yes","primary_role; aars_relevance; boundary_note; CTM-04 impact","confirmed","none","Seller identity/source-chain coverage is strong but does not include ad content, product facts, claims, or action constraints.","none"
"C7/C8 infrastructure crosswalk","C7-A1","GPP","Sungmoon Park","2026-05-17","label-visible targeted verification","yes","primary_role; aars_relevance; boundary_note; CTM-04 impact","confirmed","none","GPP is privacy/consent signal infrastructure, not ad creative/claim/action representation.","none"
"C7/C8 infrastructure crosswalk","C7-A2","TCF","Sungmoon Park","2026-05-17","label-visible targeted verification","yes","primary_role; aars_relevance; boundary_note; CTM-04 impact","confirmed","none","TCF is consent/transparency infrastructure and should not be treated as AARS representation.","none"
"C7/C8 infrastructure crosswalk","C7-B1","AAMP","Sungmoon Park","2026-05-17","label-visible targeted verification","yes","primary_role; aars_relevance; boundary_note; CTM-04 impact","confirmed","none","AAMP is a bridge/initiative but current evidence does not support final mature AARS-equivalent standard wording.","none"
"C7/C8 infrastructure crosswalk","C8-P1","MCP","Sungmoon Park","2026-05-17","label-visible targeted verification","yes","primary_role; aars_relevance; boundary_note; CTM-04 impact","confirmed","none","MCP provides tool/context access infrastructure but not ad semantics or AARS fields.","none"
"C7/C8 infrastructure crosswalk","C8-P2","A2A","Sungmoon Park","2026-05-17","label-visible targeted verification","yes","primary_role; aars_relevance; boundary_note; CTM-04 impact","confirmed","none","A2A provides agent communication/interoperability, not ad creative/claim/action representation.","none"
"C7/C8 infrastructure crosswalk","C8-P3","AP2","Sungmoon Park","2026-05-17","label-visible targeted verification","yes","primary_role; aars_relevance; boundary_note; CTM-04 impact","confirmed","none","AP2 provides payment authorization/accountability infrastructure, not display-ad creative/product/disclosure schema.","none"
"C7/C8 infrastructure crosswalk","C8-P4","x402","Sungmoon Park","2026-05-17","label-visible targeted verification","yes","primary_role; aars_relevance; boundary_note; CTM-04 impact","confirmed","none","x402 is payment rail infrastructure, not ad creative/offer/disclosure schema.","none"
"C7/C8 infrastructure crosswalk","C8-P5a","ACP communication","Sungmoon Park","2026-05-17","label-visible targeted verification","yes","primary_role; aars_relevance; boundary_note; CTM-04 impact","confirmed","none","ACP communication is agent communication infrastructure and must not be confused with ACP-commerce or AARS.","none"
"C7/C8 infrastructure crosswalk","C8-P5b","ACP-commerce","Sungmoon Park","2026-05-17","label-visible targeted verification","yes","primary_role; aars_relevance; boundary_note; CTM-04 impact","confirmed","none","ACP-commerce supports checkout/payment/delegation but not display-ad creative evidence or ad claim grounding.","none"
"C7/C8 infrastructure crosswalk","C8-P6","UCP","Sungmoon Park","2026-05-17","label-visible targeted verification","yes","primary_role; aars_relevance; boundary_note; CTM-04 impact","confirmed","none","UCP supports commerce journey building blocks, while ad exposure, disclosure, creative evidence, and claim representation remain separate gaps.","none"
"C7/C8 infrastructure crosswalk","C8-P7","CoMP","Sungmoon Park","2026-05-17","label-visible targeted verification","yes","primary_role; aars_relevance; boundary_note; CTM-04 impact","confirmed","none","CoMP is adjacent content monetization infrastructure, not an ad creative schema or final AARS representation.","none"
"C7/C8 infrastructure crosswalk","C8-P8","AAMP","Sungmoon Park","2026-05-17","label-visible targeted verification","yes","primary_role; aars_relevance; boundary_note; CTM-04 impact","confirmed","none","AAMP is bridge evidence for agentic advertising but not a final AARS-equivalent protocol in current records.","none"
"C7/C8 infrastructure crosswalk","C8-H1","Schema.org / GS1","Sungmoon Park","2026-05-17","label-visible targeted verification","yes","deferred_status; not_core_boundary","confirmed","none","S7 marks Schema.org/GS1 as deferred/not core, so it should not be used as completed C7/C8 verification evidence without separate future scoping; the deferred row does not affect current manuscript claims.","none"
