"registry_id","corpus_role","cluster_or_section","title","author_or_first_author","year","venue_or_status","source_file","source_line_or_marker","note"
"12","background","Sec. 6.1 C1 Ad Understanding","Evaluating Large VLMs for Visual Framing Analysis in News Imagery","Lu 2026","2026","background-cited","S3_background_role_mapping_english.csv","","News-image framing analysis is analogous to interpreting visual persuasion strategies in ads."
"13","core","C1_ad_understanding","Persuasive Atypical Images - VLM reasoning","S. Malakouti (U. Pittsburgh)","2025","WACV 2025","S-C1_C1_ad_understanding.md","15","Derived from S2 core coding table"
"14","out_of_scope","OOS","AesBench — MLLMs on Image Aesthetics","","","arXiv 2024","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"15","out_of_scope","OOS","AesBiasBench — Bias in Personalized Aesthetic Assessment","","","EMNLP 2025","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"16","background","Sec. 6.2 C2 Creative Generation","AesExpert: Multi-modality Foundation Model for Aesthetics","Huang 2024","2024","background-cited","S3_background_role_mapping_english.csv","","Supports discussion of aesthetic foundation models for ad creative quality evaluation."
"17","background","Sec. 6.2 C2 Creative Generation","Can VLMs Assess Graphic Design Aesthetics?","An 2026","2026","background-cited","S3_background_role_mapping_english.csv","","Directly supports visual-quality assessment for graphic design and ad banners."
"18","background","Sec. 6.2 C2 Creative Generation","A-Bench: Are LMMs Masters at Evaluating AI-Generated Images?","Zhang 2025","2025","background-cited","S3_background_role_mapping_english.csv","","Supports evaluation of AI-generated images in the generated-ad-creative context."
"19","background","Sec. 6.2 C2 Creative Generation","Q-ALIGN: Teaching LMMs for Visual Scoring via Discrete Levels","Wu 2024","2024","background-cited","S3_background_role_mapping_english.csv","","Supports quantitative visual-quality scoring for advertising creatives."
"20","background","Sec. 10.1 Evaluation","MLLM-as-a-Judge: Assessing Multimodal LLM-as-a-Judge","Chen 2024","2024","background-cited","S3_background_role_mapping_english.csv","","Background for multimodal LLM-as-judge evaluation and its limits."
"21","background","Sec. 10.1 Evaluation","LLaVA-Critic: Learning to Evaluate Multimodal Models","Xiong 2024","2024","background-cited","S3_background_role_mapping_english.csv","","Supports discussion of learned VLM evaluation pipelines."
"22","background","Sec. 10.1 Evaluation","MLLM-Bench: Evaluating Multimodal LLMs with Per-sample Criteria","Ge 2025","2025","background-cited","S3_background_role_mapping_english.csv","","Supports fine-grained evaluation using per-sample criteria."
"23","out_of_scope","OOS","SPHINX-X — Family of Multi-modal LLMs","","","ICML 2024","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"24","background","Sec. 6.1 C1 Ad Understanding","Visual Data-Type Understanding does not emerge from scaling VLMs","Udandarao 2024","2024","background-cited","S3_background_role_mapping_english.csv","","Supports limitations of VLM scaling for visual understanding, relevant to ad understanding and discussion."
"25","out_of_scope","OOS","PLLaVA — Images to Videos","","","arXiv 2024","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"26","background","Sec. 10.1 Evaluation","Can Vision-Language Models Replace Human Annotators: CelebA Case","Lu 2024","2024","background-cited","S3_background_role_mapping_english.csv","","Supports discussion of annotation cost, scalability, and AI-assisted screening rationale."
"27","out_of_scope","OOS","MIP-GAF — MLLM-Annotated MIP Localization","","","WACV 2025","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"28","background","Sec. 6.3 C3 Policy","MFC-Bench: Benchmarking Multimodal Fact-Checking with LVLMs","Wang 2024","2024","background-cited","S3_background_role_mapping_english.csv","","Supports claim verification and multimodal fact-checking for policy/compliance interpretation."
"29","core","C5_shopping_agents","ACES - AI Agent Purchasing Behavior Audit","A. Allouah (MyCustomAI)","2025","arXiv 2025 (v3)","S-C5_C5_shopping_agents.md","12","Derived from S2 core coding table"
"30","out_of_scope","OOS","PersonalLLM — Tailoring LLMs to Individual Preferences","","","arXiv 2024","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"31","core","C2_creative_generation","CTR-Driven Ad Image Gen","X. Chen (Huazhong UST/JD.COM)","2025","WWW 2025","S-C2_C2_creative_generation.md","16","Derived from S2 core coding table"
"32","core","C2_creative_generation","BannerAgency - banner design agent","H. Wang (Sony)","2025","EMNLP 2025","S-C2_C2_creative_generation.md","17","Derived from S2 core coding table"
"33","core","C2_creative_generation","RF1M - reliability of advertising images","Z. Du (Huazhong UST/JD.COM)","2024","ECCV 2024","S-C2_C2_creative_generation.md","18","Derived from S2 core coding table"
"34","core","C2_creative_generation","PVP - personalized visual persuasion","J. Kim (SNU)","2025","ACL 2025","S-C2_C2_creative_generation.md","21","Derived from S2 core coding table"
"35","core","C1_ad_understanding","Persuasion Strategies in Ads","Y. Kumar (IIIT-Delhi/Adobe)","2023","AAAI 2023","S-C1_C1_ad_understanding.md","17","Derived from S2 core coding table"
"36","core","C1_ad_understanding","AdQuestA - advertising VQA","N. Choudhary (BITS Pilani/Adobe)","2025","WACV 2025","S-C1_C1_ad_understanding.md","18","Derived from S2 core coding table"
"37","out_of_scope","OOS","AesthetiQ — Aesthetic-Aware Preference Alignment","","","CVPR 2025","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"38","out_of_scope","OOS","ROC4MLLM — Regression Over Classification for Aesthetics","","","AAAI 2026","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"39","core","C2_creative_generation","E-comIQ-ZH - e-commerce poster evaluation","M. Sun (Taobao/Alibaba)","2026","arXiv 2026","S-C2_C2_creative_generation.md","19","Derived from S2 core coding table"
"40","out_of_scope","OOS","UNIAA — Unified Multi-modal Aesthetic Assessment","","","arXiv 2024","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"41","out_of_scope","OOS","Q-Bench — Foundation Models on Low-level Vision","","","ICLR 2024","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"42","out_of_scope","OOS","Q-Bench++ — Multi-Modal Low-Level Vision","","","IEEE TPAMI 2024","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"43","out_of_scope","OOS","Comprehensive MLLM for IQA","","","ECCV 2024","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"44","out_of_scope","OOS","DepictQA — Depicting Beyond Scores","","","arXiv 2024","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"45","out_of_scope","OOS","Measuring Engagement of T2I Generation","","","ICLR 2025","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"46","core","C2_creative_generation","LAMBDA - long-term ad memorability","Harini SI (Adobe/SUNY/IIIT-D)","2025","WACV 2025","S-C2_C2_creative_generation.md","20","Derived from S2 core coding table"
"47","background","Sec. 10.1 Evaluation","Prometheus-Vision: Vision-Language Model Fine-Grained Evaluation","Lee 2024","2024","background-cited","S3_background_role_mapping_english.csv","","Supports discussion of fine-grained VLM evaluation."
"48","out_of_scope","OOS","Rich Human Feedback for T2I","","","CVPR 2024","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"49","out_of_scope","OOS","Cambrian-1 — Vision-Centric Exploration of MLLMs","","","NeurIPS 2024","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"50","background","Sec. 6.1 C1 Ad Understanding","Qwen2-VL: Enhancing VLM Perception at Any Resolution","Wang 2024","2024","background-cited","S3_background_role_mapping_english.csv","","Used as background on VLM model development rather than as an experiment model for this survey."
"51","background","Sec. 6.1 C1 Ad Understanding","Qwen2.5-VL Technical Report","Bai 2025","2025","background-cited","S3_background_role_mapping_english.csv","","Used as background on the same VLM model line rather than as an experiment model for this survey."
"52","out_of_scope","OOS","ImageReward — Human Preferences for T2I","","","NeurIPS 2023","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"53","out_of_scope","OOS","Pick-a-Pic — Open Dataset of User Preferences","","","NeurIPS 2023","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"54","out_of_scope","OOS","HPS — Human Preference Score for T2I","","","ICCV 2023","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"55","core","C5_shopping_agents","WebArena - Realistic Web Environment Benchmark","S. Zhou (CMU)","2024","ICLR 2024","S-C5_C5_shopping_agents.md","13","Derived from S2 core coding table"
"56","core","C5_shopping_agents","VisualWebArena - Vision-Based Multimodal Agents","J.Y. Koh (CMU)","2024","ACL 2024","S-C5_C5_shopping_agents.md","14","Derived from S2 core coding table"
"57","core","C5_shopping_agents","Mind2Web - Generalist Web-Agent Dataset","X. Deng (OSU)","2023","NeurIPS 2023 D&B","S-C5_C5_shopping_agents.md","15","Derived from S2 core coding table"
"58","background","Sec. 8.1 C5 Shopping Agents","Generative Agents: Interactive Simulacra of Human Behavior","Park 2023","2023","background-cited","S3_background_role_mapping_english.csv","","Foundational generative-agent simulation background for shopping-agent benchmarks."
"59","core","C5_shopping_agents","ShoppingBench - Intent-Grounded Shopping Benchmark","J. Wang (Alibaba)","2026","AAAI 2026","S-C5_C5_shopping_agents.md","16","Derived from S2 core coding table"
"60","core","C5_shopping_agents","WebShop - Scalable Web Interaction","S. Yao (Princeton)","2022","NeurIPS 2022","S-C5_C5_shopping_agents.md","17","Derived from S2 core coding table"
"61","background","Sec. 8.1 C5 Shopping Agents","OSWorld: Multimodal Agents in Real Computer Environments","Xie 2024","2024","background-cited","S3_background_role_mapping_english.csv","","Supports discussion of multimodal agents in real computer environments and C5 benchmark expansion."
"62","core","C5_shopping_agents","Are AI Agents interacting with Online Ads?","A. Stoeckl (FH Hagenberg)","2025","ICECET 2025","S-C5_C5_shopping_agents.md","18","Derived from S2 core coding table"
"63","background","Sec. 8.1 C5 Shopping Agents","iAgent: LLM Agent as Shield between User and Recommender","Xu 2025","2025","background-cited","S3_background_role_mapping_english.csv","","Connects agent behavior in recommender contexts with the agent-as-shield safety framing."
"64","background","Sec. 6.1 C1 Ad Understanding","II-Bench: Image Implication Understanding Benchmark","Liu 2024","2024","background-cited","S3_background_role_mapping_english.csv","","Supports implicit image-meaning understanding, directly relevant to ad semantics."
"65","background","Sec. 8.1 C5 Shopping Agents","On Generative Agents in Recommendation","Zhang 2024","2024","background-cited","S3_background_role_mapping_english.csv","","Background on generative agents for recommender systems and shopping-agent simulation."
"66","background","Sec. 10.1 Evaluation","SimUSER: Simulating User Behavior with LLMs for RecSys","Bougie 2025","2025","background-cited","S3_background_role_mapping_english.csv","","User-behavior simulation background; source review recommends aggregate citation rather than dense individual use."
"67","background","Sec. 10.1 Evaluation","LLM-Powered User Simulator for Recommender System","Zhang 2025","2025","background-cited","S3_background_role_mapping_english.csv","","Recommender-system user-simulator background; source review recommends aggregate citation rather than dense individual use."
"68","background","Sec. 10.1 Evaluation","RecAgent: A Novel Simulation Paradigm for Recommender Systems","Wang 2023","2023","background-cited","S3_background_role_mapping_english.csv","","Recommendation-system simulation paradigm background."
"69","background","Sec. 10.1 Evaluation","Evaluating LLMs as Generative User Simulators for Conversational Rec","Yoon 2024","2024","background-cited","S3_background_role_mapping_english.csv","","Supports evaluation of LLM user simulators for conversational recommendation."
"70","background","Sec. 10.1 Evaluation","PersonaX: Recommendation Agent-Oriented User Modeling","Shi 2025","2025","background-cited","S3_background_role_mapping_english.csv","","Supports persona-based user modeling for agent-oriented recommendation evaluation."
"71","out_of_scope","OOS","Character is Destiny — Persona-assigned LMs","","","EMNLP 2025 Findings","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"72","background","Sec. 10.1 Evaluation","PersonaAgent: When LLM Agents Meet Personalization","Unknown 2025","2025","background-cited","S3_background_role_mapping_english.csv","","Background on personalization and agents from an evaluation/simulation perspective."
"73","out_of_scope","OOS","Unified Multi-Modal Personalization","","","ICLR 2024","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"74","core","C5_shopping_agents","PAARS - Persona-Aligned Shopping Agents","S. Mansour (Amazon)","2025","arXiv 2025","S-C5_C5_shopping_agents.md","19","Derived from S2 core coding table"
"75","out_of_scope","OOS","VLM Emotion Recognition","","","NAACL 2025 Findings","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"76","background","Sec. 6.2 C2 Creative Generation","Multimodal LLMs Can Reason about Aesthetics in Zero-Shot","Jiang 2025","2025","background-cited","S3_background_role_mapping_english.csv","","Supports zero-shot aesthetic reasoning as background for ad-aesthetic evaluation."
"77","background","Sec. 10.1 Evaluation","Customer-R1: Personalized Simulation via RL-based LLM Agent","Wang 2025","2025","background-cited","S3_background_role_mapping_english.csv","","Recent RL-based personalized simulation background."
"78","background","Sec. 1 Introduction","Advertising in the Age of Agentic AI: Call for Research","Kim 2025","2025","background-cited","S3_background_role_mapping_english.csv","","Direct call-for-research source on how advertising changes in the agentic-AI era; supports the introduction's motivation."
"79","background","Sec. 1 Introduction","The end of search as we know it: ... the delegate economy","Cui 2025","2025","background-cited","S3_background_role_mapping_english.csv","","Introduces the delegate-economy framing in which users delegate search and purchase to agents; supports the introductory paradigm shift."
"80","background","Sec. 10.2 Governance","Consumer Law for AI Agents","Busch 2025","2025","background-cited","S3_background_role_mapping_english.csv","","Provides a consumer-law framework for AI agents; used as legal/governance background."
"81","core","C1_ad_understanding","CV Models for Image Analysis in Ad Research","H. Li (Michigan State U.)","2024","J. Advertising 53:5 (DOI: 10.1080/00913367.2024.2407644)","S-C1_C1_ad_understanding.md","19","Derived from S2 core coding table"
"82","background","Sec. 1 Introduction","Agentic AI and the Future of Retail E-Commerce","Kshetri 2026","2026","background-cited","S3_background_role_mapping_english.csv","","Provides industry/background context on agentic AI in retail e-commerce; supports the introduction and governance context."
"83","background","Sec. 10.4 Incentives","Beware the Intention Economy: Collection and Commodification of Intent via LLMs","Chaudhary 2024","2024","background-cited","S3_background_role_mapping_english.csv","","Supports incentive-conflict and privacy discussion through intent collection and commodification by LLMs."
"84","background","Sec. 10.4 Incentives","The Coasean Singularity? ... AI Agents Market Design","Shahidi 2025","2025","background-cited","S3_background_role_mapping_english.csv","","Provides an economics and market-design perspective on AI agents and transaction costs."
"85","core","C1_ad_understanding","Language of Images - marketing image classification","M. Witte (U. Hamburg)","2026","IJRM (DOI: 10.1016/j.ijresmar.2026.01.001)","S-C1_C1_ad_understanding.md","20","Derived from S2 core coding table"
"86","out_of_scope","OOS","PersonalLLM Travel — Tailored Travel Planners","","","EMNLP 2024 Industry","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"87","out_of_scope","OOS","LAUS — LLM as User Simulator for News Rec","","","SIGIR 2025","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"88","core","C5_shopping_agents","OPeRA - Online Shopping Behavior Simulation","Z. Wang (Northeastern)","2026","ACL 2026","S-C5_C5_shopping_agents.md","20","Derived from S2 core coding table"
"89","out_of_scope","OOS","EEmo-Bench — Image Evoked Emotion Assessment","","","ACM MM 2025","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"90","core","C5_shopping_agents","SeeAct - GPT-4V Generalist Web Agent","B. Zheng (OSU)","2024","ICML 2024","S-C5_C5_shopping_agents.md","21","Derived from S2 core coding table"
"91","core","C5_shopping_agents","WebMall - Multi-Shop Shopping Benchmark","R. Peeters (U. Mannheim)","2025","arXiv 2025 [TR]","S-C5_C5_shopping_agents.md","22","Derived from S2 core coding table"
"92","core","C5_shopping_agents","Amazon-Bench - Functionality-Grounded E-Commerce Evaluation","X. Zhang (Penn State/Amazon)","2025","arXiv 2025","S-C5_C5_shopping_agents.md","23","Derived from S2 core coding table"
"93","core","C6_agent_safety","AdInject - Black-Box Attack via Ad-Delivery Path","H. Wang (ISCAS/UCAS)","2025","arXiv 2025 (under review)","S-C6_C6_agent_safety.md","15","Derived from S2 core coding table"
"94","core","C6_agent_safety","PopupAttack - Adversarial Pop-Up Attack","Y. Zhang (Georgia Tech)","2025","ACL 2025 Long (pp.8387)","S-C6_C6_agent_safety.md","16","Derived from S2 core coding table"
"95","core","C5_shopping_agents","Machine-Readable Ads - AI Web Agents + Advertising","J. Nitu (FH Hagenberg/506 Data)","2025","ICECER 2025","S-C5_C5_shopping_agents.md","24","Derived from S2 core coding table"
"96","core","C1_ad_understanding","Pitt Ads - image/video ad understanding","Z. Hussain (U. Pittsburgh)","2017","CVPR 2017 related (arXiv)","S-C1_C1_ad_understanding.md","21","Derived from S2 core coding table"
"97","core","C1_ad_understanding","Understanding Advertisements","Y. Feng (Nanjing/UT Dallas)","2025","AAAI 2025","S-C1_C1_ad_understanding.md","22","Derived from S2 core coding table"
"98","core","C1_ad_understanding","AdGPT - exploring meaningful advertising with ChatGPT","J. Huang (Beijing Jiaotong)","2025","ACM TOMM 21:4","S-C1_C1_ad_understanding.md","23","Derived from S2 core coding table"
"99","core","C2_creative_generation","AdTEC - search ad text quality","P. Zhang (CyberAgent/NAIST)","2025","arXiv (NAACL-related)","S-C2_C2_creative_generation.md","22","Derived from S2 core coding table"
"100","core","C1_ad_understanding","AdsQA - advertising video understanding","X. Long (Tsinghua/Peking/Harvard)","2025","ICCV 2025 MARS2 WS","S-C1_C1_ad_understanding.md","24","Derived from S2 core coding table"
"101","core","C5_shopping_agents","EconWebArena - Economic-Domain Web Agents","Z. Liu (Capital One)","2025","arXiv 2025","S-C5_C5_shopping_agents.md","25","Derived from S2 core coding table"
"102","core","C5_shopping_agents","ProductAgent - Conversational Product Search","J. Ye (Tsinghua/Alibaba)","2024","arXiv 2024","S-C5_C5_shopping_agents.md","26","Derived from S2 core coding table"
"103","core","C6_agent_safety","ST-WebAgentBench - Web-Agent Safety Benchmark","I. Levy (IBM Research)","2026","ICLR 2026","S-C6_C6_agent_safety.md","17","Derived from S2 core coding table"
"104","core","C5_shopping_agents","Shopping MMLU - Multi-Task Shopping Benchmark","Y. Jin (Amazon/HKUST/Notre Dame)","2024","NeurIPS 2024 D&B","S-C5_C5_shopping_agents.md","27","Derived from S2 core coding table"
"105","core","C3_policy_interpretation","Scaling Up LLM Reviews for Google Ads Content Moderation","W. Qiao (Google Ads Safety)","2024","WSDM 2024 (DOI: 10.1145/3616855.3635736)","S-C3_C3_policy_interpretation.md","12","Derived from S2 core coding table"
"106","core","C3_policy_interpretation","Zero-Shot Image Moderation in Google Ads","E. Luo (Google Research)","2025","WSDM 2025 (DOI: 10.1145/3701551.3706127)","S-C3_C3_policy_interpretation.md","13","Derived from S2 core coding table"
"107","core","C3_policy_interpretation","RAVEN: Robust Ad Video Violation Temporal Grounding via RL Reasoning","D. Ji (Tencent)","2025","ACL 2025 Industry (indirectly verified through #108 references)","S-C3_C3_policy_interpretation.md","14","Derived from S2 core coding table"
"108","core","C3_policy_interpretation","RAVEN++: Fine-Grained Ad Video Violations + Active RL","D. Ji (Tencent)","2025","EMNLP 2025 Industry (PDF not verified)","S-C3_C3_policy_interpretation.md","15","Derived from S2 core coding table"
"109","core","C3_policy_interpretation","BLM-Guard: Explainable Multimodal Ad Moderation","Y. Yang (Kuaishou)","2026","AAAI 2026 (PDF verified)","S-C3_C3_policy_interpretation.md","16","Derived from S2 core coding table"
"110","core","C3_policy_interpretation","Greenwashing Detection: O&G Ad Framing VLM Benchmark","G. Morio (Hitachi)","2025","NeurIPS 2025 D&B (PDF not verified)","S-C3_C3_policy_interpretation.md","17","Derived from S2 core coding table"
"111","core","C4_llm_native_advertising","Online Ads with LLMs - LLMA Framework","S. Feizi (U Maryland)","2024","SIGecom Exchanges 2025 (confirmed, S260507o)","S-C4_C4_llm_native_advertising.md","12","Derived from S2 core coding table"
"112","core","C4_llm_native_advertising","Detecting Generated Native Ads","S. Schmidt (Leipzig U)","2024","WWW 2024 Companion (DOI verified)","S-C4_C4_llm_native_advertising.md","13","Derived from S2 core coding table"
"113","core","C4_llm_native_advertising","Auctions with LLM Summaries - Factorized Prominence","K. A. Dubey (Google Research)","2024","arXiv (KDD 2024 unverified)","S-C4_C4_llm_native_advertising.md","14","Derived from S2 core coding table"
"114","core","C4_llm_native_advertising","Truthful Aggregation - MOSAIC","E. Soumalias (U Zurich/ETH)","2025","arXiv (venue unverified)","S-C4_C4_llm_native_advertising.md","15","Derived from S2 core coding table"
"115","core","C4_llm_native_advertising","Ad Auctions for LLMs via RAG - Segment Auction","M. Hajiaghayi (U Maryland/Google)","2024","NeurIPS 2024 (PDF footer verified)","S-C4_C4_llm_native_advertising.md","16","Derived from S2 core coding table"
"116","core","C4_llm_native_advertising","Ads that Talk Back - LLM chatbot ad insertion + user study","B. J. Tang (U Michigan)","2025","IMWUT 2025 (PDF header verified)","S-C4_C4_llm_native_advertising.md","17","Derived from S2 core coding table"
"117","core","C4_llm_native_advertising","Position Auctions in AIGC","S. Balseiro (Columbia/Google)","2025","arXiv (WWW 2026 unverified)","S-C4_C4_llm_native_advertising.md","18","Derived from S2 core coding table"
"118","core","C4_llm_native_advertising","GEM-Bench - Ad-Injected Response Benchmark","S. Hu (NUS)","2025","arXiv (ICLR 2026 submission unverified)","S-C4_C4_llm_native_advertising.md","19","Derived from S2 core coding table"
"119","core","C4_llm_native_advertising","Sponsored Questions - LLM follow-up auction","K. Bhawalkar (Google/Purdue)","2025","arXiv","S-C4_C4_llm_native_advertising.md","20","Derived from S2 core coding table"
"120","core","C4_llm_native_advertising","LLM-Auction - generative auction + IRPO","C. Zhao (Alibaba)","2026","arXiv (ICLR 2026 WS unverified)","S-C4_C4_llm_native_advertising.md","21","Derived from S2 core coding table"
"121","core","C4_llm_native_advertising","Ad Insertion in LLM - genre-based + VCG","S. Xu (U Michigan/PKU/HKU)","2026","arXiv (EC 2025 WS unverified)","S-C4_C4_llm_native_advertising.md","22","Derived from S2 core coding table"
"122","core","C4_llm_native_advertising","Detecting RAG Ads - Advertising Style Taxonomy","S. Heineking (U Kassel)","2026","arXiv","S-C4_C4_llm_native_advertising.md","23","Derived from S2 core coding table"
"123","core","C4_llm_native_advertising","Commercial Persuasion in AI Conversations","F. Salvi (Princeton)","2026","arXiv","S-C4_C4_llm_native_advertising.md","24","Derived from S2 core coding table"
"124","core","C4_llm_native_advertising","Ads in AI Chatbots - Gricean Maxims","A. J. Wu (Princeton/UW)","2026","arXiv","S-C4_C4_llm_native_advertising.md","25","Derived from S2 core coding table"
"125","core","C6_agent_safety","InjecAgent - Tool-Integrated LLM IPI Benchmark","Q. Zhan (UIUC)","2024","Findings of ACL 2024 (ACL Anthology + proceedings PDF header/pp.10471-10506 verified; S260513a E1 correction)","S-C6_C6_agent_safety.md","23","Derived from S2 core coding table"
"126","core","C6_agent_safety","AgentDojo - Dynamic PI Attack/Defense Evaluation","E. Debenedetti (ETH Zurich)","2024","NeurIPS 2024 D&B (PDF verified)","S-C6_C6_agent_safety.md","24","Derived from S2 core coding table"
"127","core","C6_agent_safety","EIA - Environment-Injection Attack on Web Agents","Z. Liao (Ohio State)","2025","ICLR 2025 (PDF verified)","S-C6_C6_agent_safety.md","25","Derived from S2 core coding table"
"128","core","C6_agent_safety","ASB - Agent Security Bench","H. Zhang (Zhejiang U)","2025","ICLR 2025 (PDF verified)","S-C6_C6_agent_safety.md","26","Derived from S2 core coding table"
"129","core","C6_agent_safety","AdvAgent - Black-Box Red-Teaming","C. Xu (UIUC)","2025","ICML 2025 (PDF verified, PMLR 267)","S-C6_C6_agent_safety.md","27","Derived from S2 core coding table"
"130","core","C6_agent_safety","WASP - End-to-End Web-Agent Security Benchmark","I. Evtimov (FAIR at Meta)","2025","NeurIPS 2025 D&B Track (OpenReview/BibTeX verified; S260513a E1 correction)","S-C6_C6_agent_safety.md","28","Derived from S2 core coding table"
"131","core","C6_agent_safety","WebInject - Pixel-Level PI Attack","X. Wang (Duke U)","2025","EMNLP 2025 (ACL Anthology + BibTeX pp.2010-2030 verified; S260513a E1 correction)","S-C6_C6_agent_safety.md","29","Derived from S2 core coding table"
"132","core","C6_agent_safety","WAInjectBench - PI Detection Benchmark","Y. Liu (Duke U)","2025","arXiv (ICLR 2026 withdrawn status unverified)","S-C6_C6_agent_safety.md","30","Derived from S2 core coding table"
"133","core","C3_policy_interpretation","Advertiser Content Understanding via LLMs for Google Ads Safety","J. Wallace (Google Ads Safety)","2024","CIKM 2024 (DOI: 10.1145/3627673.3679077)","S-C3_C3_policy_interpretation.md","18","Derived from S2 core coding table"
"134","core","C3_policy_interpretation","Is This An Ad?: Automatically Disclosing Online Endorsements On YouTube With AdIntuition","M. Swart (Princeton U)","2020","CHI 2020 (DOI: 10.1145/3313831.3376178)","S-C3_C3_policy_interpretation.md","19","Derived from S2 core coding table"
"135","core","C3_policy_interpretation","Turning Trust to Transactions: Tracking Affiliate Marketing and FTC Compliance in YouTube's Influencer Economy","C. Sun (U of Iowa)","2026","ICWSM 2026 (AAAI footer, arXiv:2603.04383)","S-C3_C3_policy_interpretation.md","20","Derived from S2 core coding table"
"136","core","C4_llm_native_advertising","Ads in Conversations - FPA vs SPA Timing","M. Banchio (Bocconi/Google)","2025","EC 2025 extended abstract (ACM DL verified)","S-C4_C4_llm_native_advertising.md","26","Derived from S2 core coding table"
"137","core","C4_llm_native_advertising","Commercialized GenAI - Native Ad Feasibility + Ethics","I. Zelch (Leipzig U)","2023","OSSYM 2023 (arXiv verified)","S-C4_C4_llm_native_advertising.md","27","Derived from S2 core coding table"
"138","core","C4_llm_native_advertising","BARD - Bidding-Augmented Response Delivery","M. Liang (Yangzhou U)","2026","Information Sciences 2026 (Elsevier verified)","S-C4_C4_llm_native_advertising.md","28","Derived from S2 core coding table"
"139","core","C4_llm_native_advertising","Advertising in AI Systems - Society Must Be Vigilant","M. Wu (MIT/Accenture)","2025","arXiv (PDF verified)","S-C4_C4_llm_native_advertising.md","29","Derived from S2 core coding table"
"140","core","C4_llm_native_advertising","Fake Friends and Sponsored Ads - Conversational Search Risks","J. Erickson (Vassar)","2025","ACM CUI 2025 (ACM DL verified)","S-C4_C4_llm_native_advertising.md","30","Derived from S2 core coding table"
