"registry_id","author_year","title","primary_section","secondary_sections","role_rationale","decision_status"
"24","Udandarao 2024","Visual Data-Type Understanding does not emerge from scaling VLMs","Sec. 6.1 C1 Ad Understanding","Sec. 12 Discussion","Supports limitations of VLM scaling for visual understanding, relevant to ad understanding and discussion.","confirmed"
"64","Liu 2024","II-Bench: Image Implication Understanding Benchmark","Sec. 6.1 C1 Ad Understanding","Sec. 6.2 C2 Creative Generation","Supports implicit image-meaning understanding, directly relevant to ad semantics.","confirmed"
"28","Wang 2024","MFC-Bench: Benchmarking Multimodal Fact-Checking with LVLMs","Sec. 6.3 C3 Policy","Sec. 10.1 Evaluation","Supports claim verification and multimodal fact-checking for policy/compliance interpretation.","confirmed"
"58","Park 2023","Generative Agents: Interactive Simulacra of Human Behavior","Sec. 8.1 C5 Shopping Agents","Sec. 10.1 Evaluation","Foundational generative-agent simulation background for shopping-agent benchmarks.","confirmed"
"61","Xie 2024","OSWorld: Multimodal Agents in Real Computer Environments","Sec. 8.1 C5 Shopping Agents","none","Supports discussion of multimodal agents in real computer environments and C5 benchmark expansion.","confirmed"
"63","Xu 2025","iAgent: LLM Agent as Shield between User and Recommender","Sec. 8.1 C5 Shopping Agents","Sec. 8.2 C6 Agent Safety","Connects agent behavior in recommender contexts with the agent-as-shield safety framing.","confirmed"
"65","Zhang 2024","On Generative Agents in Recommendation","Sec. 8.1 C5 Shopping Agents","Sec. 10.1 Evaluation","Background on generative agents for recommender systems and shopping-agent simulation.","confirmed"
"66","Bougie 2025","SimUSER: Simulating User Behavior with LLMs for RecSys","Sec. 10.1 Evaluation","Sec. 8.1 C5 Shopping Agents","User-behavior simulation background; source review recommends aggregate citation rather than dense individual use.","requires_pi_confirmation_for_citation_density"
"67","Zhang 2025","LLM-Powered User Simulator for Recommender System","Sec. 10.1 Evaluation","Sec. 8.1 C5 Shopping Agents","Recommender-system user-simulator background; source review recommends aggregate citation rather than dense individual use.","requires_pi_confirmation_for_citation_density"
"68","Wang 2023","RecAgent: A Novel Simulation Paradigm for Recommender Systems","Sec. 10.1 Evaluation","Sec. 8.1 C5 Shopping Agents","Recommendation-system simulation paradigm background.","requires_pi_confirmation_for_citation_density"
"69","Yoon 2024","Evaluating LLMs as Generative User Simulators for Conversational Rec","Sec. 10.1 Evaluation","Sec. 8.1 C5 Shopping Agents","Supports evaluation of LLM user simulators for conversational recommendation.","requires_pi_confirmation_for_citation_density"
"70","Shi 2025","PersonaX: Recommendation Agent-Oriented User Modeling","Sec. 10.1 Evaluation","Sec. 8.1 C5 Shopping Agents","Supports persona-based user modeling for agent-oriented recommendation evaluation.","requires_pi_confirmation_for_citation_density"
"72","Unknown 2025","PersonaAgent: When LLM Agents Meet Personalization","Sec. 10.1 Evaluation","Sec. 8.1 C5 Shopping Agents","Background on personalization and agents from an evaluation/simulation perspective.","requires_pi_confirmation_for_citation_density"
"77","Wang 2025","Customer-R1: Personalized Simulation via RL-based LLM Agent","Sec. 10.1 Evaluation","Sec. 8.1 C5 Shopping Agents","Recent RL-based personalized simulation background.","requires_pi_confirmation_for_citation_density"
